Theta,N,DoFs,Total DoFs,Error Estimate,Cost
0.0,93,3423,10860,0.00395395171688558,-3.2035219275850446
0.01,111,2524,12034,0.0015696044700460228,-4.127568873803112
0.02,111,2178,10221,0.001572395761036645,-4.126481192940471
0.03,120,2441,11349,0.0009950599674067638,-4.585059438734464
0.04,120,2299,11324,0.001000553794085912,-4.57892198334832
0.05,120,2316,11038,0.0010037433361414151,-4.579111498033781
0.06,120,2189,10727,0.0010056825635168037,-4.578313322053683
0.07,129,2415,12146,0.0006446625093415183,-5.0232480163612765
0.08,129,2410,11729,0.0006528721418546718,-5.020568322055583
0.09,129,2242,11467,0.0006575180911997838,-5.00078309394617
0.1,129,2026,10247,0.0007041101297654803,-4.9318489539043435
0.11,129,2080,11030,0.0006790954571117542,-4.967244704008682
0.12,129,2142,11145,0.0006852436428737707,-4.9589990297643585
0.13,129,2027,10582,0.0007266707293312532,-4.884008715793056
0.14,129,2020,10514,0.0007375957031714094,-4.881940849393221
0.15,138,2247,11874,0.00048777880577928424,-5.316835383844343
0.16,138,2170,11551,0.00048775476994574217,-5.301611966110028
0.17,138,2189,11794,0.0004919200956008279,-5.312922996772501
0.18,138,2063,10923,0.000563048404363094,-5.2165361403695805
0.19,138,2051,10732,0.000586425023437677,-5.193022662034808
0.2,138,2172,11103,0.0004949941972379367,-5.179190409245307
0.21,138,1980,10059,0.0005962914307780407,-5.047442522570305
0.22,138,2009,10639,0.0005645269753553029,-5.087534291121754
0.23,138,2008,10653,0.0005604919108350602,-5.074900818871844
0.24,138,2008,10598,0.0005604919108350602,-5.074900818871844
0.25,138,2064,10483,0.0005558232743402015,-5.169327584674632
0.26,138,2066,10320,0.0005561745899493171,-5.16961589286629
0.27,147,2091,11485,0.00041256564425804404,-5.468716726002615
0.28,147,2032,10741,0.0004413523140824459,-5.400561694605039
0.29,147,2094,10836,0.00045059616286718826,-5.3815656852508855
0.3,147,2094,10836,0.00045059616286718826,-5.3815656852508855
0.31,147,2065,10707,0.0005049362337768206,-5.23436442100658
0.32,147,2065,10875,0.0005049362337768206,-5.234219716297025
0.33,147,2041,10827,0.0005046769832707782,-5.234219716297025
0.34,147,2034,10759,0.0005200880357405367,-5.23007869284071
0.35,147,2034,10759,0.0005200880357405367,-5.23007869284071
0.36,147,2017,10722,0.0005168278109782878,-5.196080506644873
0.37,147,2033,10754,0.0005153573896781675,-5.21344024229407
0.38,147,2009,10448,0.0005153233080124647,-5.213282611905548
0.39,147,2077,10595,0.0004569805647639941,-5.326723347635695
0.4,147,2029,10164,0.0005158076349289093,-5.24475999016057
0.41,156,2184,11814,0.0003606119016075206,-5.608121612298932
0.42,156,2230,12183,0.00036057909344481225,-5.608711944286884
0.43,156,2132,11834,0.0003588590756785433,-5.610563539572
0.44,156,2132,11834,0.0003588590756785433,-5.610563539572
0.45,156,2101,10965,0.00041550667041373993,-5.463794253308065
0.46,156,2101,10965,0.00041550667041373993,-5.463794253308065
0.47,156,2118,10986,0.00041587028239925767,-5.414850518017535
0.48,156,2163,11523,0.00040746147477330473,-5.483750800672548
0.49,156,1965,10538,0.0004985161453237515,-5.274290977947292
0.5,156,1989,10754,0.0004986727631862491,-5.2741319314233
0.51,156,1933,10614,0.0004954605190043484,-5.282453191716482
0.52,156,1979,10620,0.000511249061613323,-5.269658991302874
0.53,156,1943,10590,0.0005270942418197426,-5.176431140245797
0.54,156,1957,10616,0.0005269376582358688,-5.181172715524623
0.55,156,1939,10580,0.0005284999104469531,-5.179567783707936
0.56,156,1939,10580,0.0005284999104469531,-5.179567783707936
0.57,156,1930,10562,0.0005293952680191009,-5.179567783707936
0.58,156,1950,10550,0.0005457974123350217,-5.195393169483061
0.59,156,1961,10515,0.0005638345038456795,-5.083121436060361
0.6,156,1909,10462,0.0005374656451280031,-5.216047329249782
0.61,156,2062,11617,0.0004227306652807492,-5.400434933528617
0.62,156,2074,10708,0.0004225158644409431,-5.399357681813859
0.63,165,2101,11913,0.0003162669552550717,-5.77080948517664
0.64,156,2014,10658,0.00044934732608252075,-5.377337607931127
0.65,156,2005,10613,0.00045360968603447874,-5.375772408021939
0.66,156,2005,10613,0.00045360968603447874,-5.375772408021939
0.67,156,2005,10613,0.00045360968603447874,-5.375772408021939
0.68,156,2005,10613,0.00045360968603447874,-5.375772408021939
0.69,165,1935,11782,0.0003058837344206258,-5.795123407454449
0.7,156,1751,11167,0.0004120590417690458,-5.559591684329155
0.71,156,1738,11016,0.00045057131550300315,-5.581346445560254
0.72,156,1739,11221,0.0004568534424460969,-5.390677219243532
0.73,147,1636,11289,0.0006491895673461742,-5.260364830502779
0.74,147,1617,11242,0.0006491895673461742,-5.2603648305027795
0.75,147,1381,10966,0.0006989244823201171,-5.2603648305027795
0.76,144,1357,10306,0.0008486069266566945,-4.988653689645123
0.77,144,1318,10229,0.0008486069266566945,-4.92242457145535
0.78,135,1310,10635,0.0011831164367222357,-4.572773343649641
0.79,147,1371,10693,0.0007122594121794534,-4.974675981028653
0.8,144,1368,10690,0.0007122594121794534,-4.974675981028653
0.81,138,1303,11232,0.0008989934863835425,-4.948761025291445
0.82,135,1215,10759,0.0010665364030452485,-4.749193308385225
0.83,135,1177,11127,0.0011154400550325773,-4.720233003577291
0.84,135,1177,10153,0.0011154400550325773,-4.720233003577292
0.85,135,1177,10153,0.0011154400550325773,-4.720233003577292
0.86,135,1177,10928,0.0011154400550325773,-4.720233003577291
0.87,135,1125,10863,0.001160297863607009,-4.694146228110055
0.88,129,1049,10809,0.0013746316418783667,-4.544778166073567
0.89,120,833,10048,0.002129238462868401,-4.057502896566495
0.9,120,833,10020,0.002129238462868401,-4.057502896566495
0.91,120,833,10020,0.002129238462868401,-4.057502896566495
0.92,120,813,10052,0.0021291638461953207,-4.1059279845518555
0.93,120,813,10052,0.0021291638461953207,-4.1059279845518555
0.94,120,813,10052,0.0021291638461953207,-4.1059279845518555
0.95,117,811,10160,0.002672118552593524,-3.938964998736721
0.96,120,872,10319,0.0019685800031756526,-4.284645177564625
0.97,120,813,10612,0.0021291638461953207,-4.235657059060149
0.98,117,791,10466,0.0022360646333844684,-4.064710494022237
0.99,111,659,10076,0.002696801269414555,-3.901029574857605
