theta,rho,N,DoFs,Total_DoFs,Error_Estimate,Cost
0.0,0.0,12288,12545,16890,0.024993846947022027,-1.8217448472861815
0.0,0.1,12288,12545,16890,0.024993846947022027,-1.8217448472861815
0.0,0.2,12288,12545,16890,0.024993846947022027,-1.8217448472861815
0.0,0.3,12288,12545,16890,0.024993846947022027,-1.8217448472861815
0.0,0.4,12288,12545,16890,0.024993846947022027,-1.8217448472861815
0.0,0.5,12288,12545,16890,0.024993846947022027,-1.8217448472861815
0.0,0.6,12288,12545,16890,0.024993846947022027,-1.8217448472861815
0.0,0.7,12288,12545,16890,0.024993846947022027,-1.8217448472861815
0.0,0.8,12288,12545,16890,0.024993846947022027,-1.8217448472861815
0.0,0.9,12288,12545,16890,0.024993846947022027,-1.8217448472861815
0.1,0.0,297,5283,12607,0.009813786070298848,-2.7565863807328617
0.1,0.1,339,3181,10686,0.006186472550889077,-3.218009458017221
0.1,0.2,381,3208,11587,0.003912026138161462,-3.6763190860578776
0.1,0.3,381,2987,10338,0.003943321136361133,-3.6683512234862614
0.1,0.4,426,3426,13100,0.0024913213704872987,-4.1275612791431895
0.1,0.5,432,2926,11179,0.0025367107972799627,-4.109506239600059
0.1,0.6,468,2972,10691,0.002624121383119867,-4.075628390919381
0.1,0.7,726,3274,13238,0.001769425515322927,-4.46971959345414
0.1,0.8,972,4156,13547,0.0031473797787787946,-3.893804229316517
0.1,0.9,1749,4023,10370,0.006434182751623728,-3.178749687284076
0.2,0.0,180,4609,12645,0.0062188315086336415,-3.2127924909874106
0.2,0.1,243,2878,12739,0.0015624208580254434,-4.594138069260338
0.2,0.2,243,2539,10568,0.0015928917798424223,-4.574823425935301
0.2,0.3,267,2666,12323,0.0010279903638675577,-5.012768726422895
0.2,0.4,306,3050,11844,0.0011070917985985312,-4.938637943890615
0.2,0.5,309,2888,11769,0.0011304499816173535,-4.917758752463408
0.2,0.6,336,2686,10594,0.001224121013728425,-4.838151473113987
0.2,0.7,351,3190,12415,0.0013333682137110813,-4.752666287349327
0.2,0.8,738,3363,11670,0.0026644602857751848,-4.060373002043197
0.2,0.9,1479,4202,12257,0.004109496899437089,-3.6270739076227665
0.3,0.0,123,4389,13650,0.0039452730447486,-3.6678563549754757
0.3,0.1,147,2417,11420,0.0015694515538179378,-4.589648290189922
0.3,0.2,156,2413,11781,0.001011518846284417,-5.028921510273924
0.3,0.3,156,2096,10098,0.001056120753703492,-4.985771990897645
0.3,0.4,183,2636,12621,0.0007049054678792121,-5.390066093017319
0.3,0.5,192,2455,10054,0.0012259106717121362,-4.83669054645524
0.3,0.6,231,2985,12344,0.0008105070977242261,-5.250469700370183
0.3,0.7,234,2640,12025,0.0008334120068297177,-5.22260167279671
0.3,0.8,558,3497,12016,0.0014427115643860064,-4.673850146010779
0.3,0.9,1065,3304,10630,0.0032280519341666434,-3.868495680812585
0.4,0.0,93,3423,10860,0.00395395171688558,-3.6656590062758667
0.4,0.1,120,2299,11324,0.001000553794085912,-5.0398208789436865
0.4,0.2,129,2410,11729,0.0006528721418546718,-5.466748489760886
0.4,0.3,129,2142,11145,0.0006852436428737707,-5.418355340674964
0.4,0.4,138,2170,11551,0.00048775476994574217,-5.758317039780015
0.4,0.5,138,2172,11103,0.0004949941972379367,-5.743583758976045
0.4,0.6,192,2661,10583,0.0009600496296644982,-5.081144818031586
0.4,0.7,288,3039,12259,0.000749583706510419,-5.3286118042818424
0.4,0.8,786,3102,12508,0.001801357177837525,-4.451834151258527
0.4,0.9,1218,4580,14537,0.0026971895465231458,-4.04816419754878
0.5,0.0,93,3423,10860,0.00395395171688558,-3.6656590062758667
0.5,0.1,120,2316,11038,0.0010037433361414151,-5.0366381724479234
0.5,0.2,129,2026,10247,0.0007041101297654803,-5.391195020474945
0.5,0.3,138,2247,11874,0.00048777880577928424,-5.758267762473431
0.5,0.4,138,2172,11103,0.0004949941972379367,-5.743583758976045
0.5,0.5,138,2064,10483,0.0005558232743402015,-5.627679406905536
0.5,0.6,228,2931,11920,0.0006658823172537102,-5.447016844617675
0.5,0.7,210,2879,11212,0.0007832752587500794,-5.284645620768481
0.5,0.8,591,2796,10447,0.001945020474028419,-4.375102016234477
0.5,0.9,1491,3691,11587,0.0037583208096894673,-3.7164022552605647
0.6,0.0,93,3423,10860,0.00395395171688558,-3.6656590062758667
0.6,0.1,120,2189,10727,0.0010056825635168037,-5.034708041082787
0.6,0.2,129,2142,11145,0.0006852436428737707,-5.418355340674964
0.6,0.3,138,2063,10923,0.000563048404363094,-5.614764198502253
0.6,0.4,138,2008,10598,0.0005604919108350602,-5.619314988367941
0.6,0.5,177,2512,12086,0.00044795914976885736,-5.843427754018525
0.6,0.6,192,2770,10726,0.0008474964383239813,-5.205843162046181
0.6,0.7,267,2467,10123,0.0009879708182240089,-5.052476637623233
0.6,0.8,612,3362,12458,0.0016596704643096734,-4.533755452556697
0.6,0.9,1407,3239,10004,0.005015301111104247,-3.4278810580362338
0.7,0.0,93,3423,10860,0.00395395171688558,-3.6656590062758667
0.7,0.1,129,2415,12146,0.0006446625093415183,-5.479402860198102
0.7,0.2,129,2020,10514,0.0007375957031714094,-5.344733951917336
0.7,0.3,138,1980,10059,0.0005962914307780407,-5.557400273354222
0.7,0.4,147,2032,10741,0.0004413523140824459,-5.858286344080662
0.7,0.5,192,2755,10733,0.0008187901978574048,-5.240301916360388
0.7,0.6,201,2403,11433,0.0005358174179997019,-5.664336333744158
0.7,0.7,291,2091,10735,0.0009348303181323903,-5.1077647638380785
0.7,0.8,297,2542,12381,0.000825994478477855,-5.231541709877252
0.7,0.9,1536,3915,12111,0.0045222078046174485,-3.5313741928031273
0.8,0.0,93,3423,10860,0.00395395171688558,-3.6656590062758667
0.8,0.1,129,2410,11729,0.0006528721418546718,-5.466748489760886
0.8,0.2,138,2170,11551,0.00048775476994574217,-5.758317039780015
0.8,0.3,138,2008,10598,0.0005604919108350602,-5.619314988367941
0.8,0.4,147,2065,10875,0.0005049362337768206,-5.723697647170586
0.8,0.5,147,2029,10164,0.0005158076349289093,-5.702395903275579
0.8,0.6,156,2163,11523,0.00040746147477330473,-5.9381834109463
0.8,0.7,186,2256,10302,0.0009964765443193349,-5.043904197412445
0.8,0.8,222,2304,10882,0.0006917004169691972,-5.408976860300043
0.8,0.9,291,1725,10889,0.005947326215117757,-3.257432776794645
0.9,0.0,54,3197,10290,0.05119203354126341,-1.1047905947001222
0.9,0.1,81,2161,12037,0.017016063471485862,-2.206216711745137
0.9,0.2,81,2137,10786,0.017135747058586368,-2.1992077669659156
0.9,0.3,81,2099,10279,0.018095387623946805,-2.1447174413507373
0.9,0.4,84,2374,12303,0.012350124567649634,-2.5267083702697626
0.9,0.5,84,2384,12324,0.011779642438887513,-2.5740016952148275
0.9,0.6,84,2346,11986,0.01727542154535707,-2.191089748339516
0.9,0.7,102,2196,11103,0.01326857131100895,-2.454976340268142
0.9,0.8,114,2023,10237,0.022429709588601597,-1.929988118748177
0.9,0.9,204,1384,11377,0.009558262224337373,-2.782968584899066
