Theta,N,DoFs,Total DoFs,Error Estimate,Cost
0.0,123,4924,14836,0.005641677255209874,-2.3174076814931706
0.01,141,2681,12274,0.0022396931619622913,-3.241228045308794
0.02,150,2749,12581,0.0014155486630387582,-3.7018305223578234
0.03,150,2326,11191,0.0014164436740200916,-3.700266599504372
0.04,150,2447,11372,0.0014277900789497473,-3.6912635849434308
0.05,150,2369,10459,0.001425796451667888,-3.6432062463920447
0.06,150,2400,11106,0.0014364195807608556,-3.691736306464566
0.07,159,2422,11950,0.0009175956996692312,-4.060585606635758
0.08,159,2396,11764,0.0009200440120627568,-4.114485459835103
0.09,159,2453,12055,0.0009436164150783738,-4.112133384051878
0.1,159,2405,11669,0.0009446834841034909,-4.111249297208047
0.11,159,2172,10903,0.0009801569458120088,-4.075615040938515
0.12,159,2228,11046,0.0010341172992872365,-3.8995303089281523
0.13,159,2265,10923,0.0010365257092791878,-3.8988426019671767
0.14,159,2157,10388,0.0010523750570535927,-3.788288858319175
0.15,159,2225,10505,0.000984828652414919,-3.946903711482206
0.16,159,2161,10113,0.0010767411387956082,-3.9057533901681225
0.17,168,2263,11687,0.0006974015965941665,-4.414808497490526
0.18,168,2218,11521,0.000742509869185759,-4.435775426702248
0.19,168,2119,10748,0.000845759235485623,-4.2514674215723325
0.2,168,2135,10750,0.000842354226245508,-4.252615654045659
0.21,168,2301,11073,0.0008359026373723219,-4.234016763776356
0.22,168,2221,10643,0.0008345146428634453,-3.9364574380609345
0.23,168,2166,10722,0.0008537119841279228,-4.17560269073031
0.24,168,2189,10754,0.000853909262392073,-4.1028278019916
0.25,168,1999,10266,0.0007767233840278407,-4.289301122446151
0.26,168,2178,10677,0.0007804365942262201,-4.294053122721674
0.27,168,2091,10339,0.00078588254793977,-4.28787166698143
0.28,177,2307,11944,0.0005359904789392813,-4.531895543400051
0.29,177,2279,11676,0.0006411139462898737,-4.525033587703524
0.3,177,2300,11449,0.0007164341241592006,-4.166628793501984
0.31,177,2261,11260,0.0007198078905518899,-4.164697485602626
0.32,177,2279,11278,0.0007198026661136777,-4.165247306148551
0.33,177,2329,11412,0.0007195079371494158,-4.269531252196863
0.34,186,2404,12356,0.0006061208765598424,-4.2943199559859035
0.35,186,2306,12200,0.0006697033959936001,-4.2943199559859035
0.36,177,2128,10733,0.0007262702629322209,-4.2361334561864865
0.37,177,2142,10763,0.0007393583348496308,-4.242971203622078
0.38,177,2165,10725,0.0007395881033120933,-4.161170787770724
