theta,rho,N,DoFs,Total_DoFs,Error_Estimate,Cost
0.0,0.0,15360,15553,20837,0.022639566810660153,-1.3899439868540269
0.0,0.1,15360,15553,20837,0.022639566810660153,-1.3899439868540269
0.0,0.2,15360,15553,20837,0.022639566810660153,-1.3899439868540269
0.0,0.3,15360,15553,20837,0.022639566810660153,-1.3899439868540269
0.0,0.4,15360,15553,20837,0.022639566810660153,-1.3899439868540269
0.0,0.5,15360,15553,20837,0.022639566810660153,-1.3899439868540269
0.0,0.6,15360,15553,20837,0.022639566810660153,-1.3899439868540269
0.0,0.7,15360,15553,20837,0.022639566810660153,-1.3899439868540269
0.0,0.8,15360,15553,20837,0.022639566810660153,-1.3899439868540269
0.0,0.9,15360,15553,20837,0.022639566810660153,-1.3899439868540269
0.1,0.0,306,4669,10090,0.014001756748127602,-1.8704603024490278
0.1,0.1,390,3645,12763,0.005561657217941272,-2.793746981569186
0.1,0.2,390,2930,10503,0.005573878073485669,-2.7915520515310783
0.1,0.3,432,3359,12876,0.00353034572095976,-3.2482473021026532
0.1,0.4,432,3136,11833,0.003549739446184301,-3.242768900848487
0.1,0.5,444,2533,10500,0.0035845199593875885,-3.23301854365717
0.1,0.6,480,2881,11235,0.003651534467400306,-3.2144956249234844
0.1,0.7,810,3130,12233,0.004022487051597235,-3.1177427253158223
0.1,0.8,1530,4808,14423,0.005244484482288776,-2.8524661566403187
0.1,0.9,2718,5732,14641,0.006801841875375089,-2.59244966667042
0.2,0.0,186,4480,11578,0.008872748940446488,-2.3266584435249795
0.2,0.1,249,2572,11707,0.0022241606055201754,-3.7102635177079035
0.2,0.2,249,2537,10431,0.0022598327556677495,-3.694352297572199
0.2,0.3,270,2737,12366,0.0014616669474475162,-4.1300655769488115
0.2,0.4,270,2500,10922,0.0014907124994875166,-4.110388912963554
0.2,0.5,306,2731,11141,0.001678597844587716,-3.991684277588973
0.2,0.6,354,2919,11110,0.0017593200137482488,-3.9447157276306317
0.2,0.7,375,2938,11534,0.0017637033403068844,-3.942227337188701
0.2,0.8,1044,3864,12030,0.004566548505109699,-2.990885437163477
0.2,0.9,2037,4472,11531,0.006998934232778779,-2.5638852211976353
0.3,0.0,132,3850,10340,0.008935669209804683,-2.319592062822611
0.3,0.1,165,2420,10202,0.0022594539965117015,-3.6945199165694906
0.3,0.2,180,2577,11833,0.0014395971196486087,-4.145279809780254
0.3,0.3,180,2218,10072,0.0014681016211042985,-4.125672954219262
0.3,0.4,219,2847,12580,0.0011136208118518467,-4.402026406974065
0.3,0.5,189,2362,11437,0.0010010908603017062,-4.508552840455239
0.3,0.6,189,2078,10141,0.0010541553814785406,-4.456903246189765
0.3,0.7,414,2485,10738,0.00216500739219143,-3.7372193303454404
0.3,0.8,660,3646,12143,0.0031269420115409337,-3.369587572335899
0.3,0.9,1884,4388,12448,0.006161652654513673,-2.6912980765681707
0.4,0.0,123,4924,14836,0.005641677255209874,-2.77946169922607
0.4,0.1,150,2447,11372,0.0014277900789497473,-4.15351525662647
0.4,0.2,159,2396,11764,0.0009200440120627568,-4.592976877085851
0.4,0.3,159,2228,11046,0.0010341172992872365,-4.476094894298328
0.4,0.4,159,2161,10113,0.0010767411387956082,-4.435704090866805
0.4,0.5,228,2881,11702,0.0010317130114962838,-4.478422567451298
0.4,0.6,222,2690,12056,0.0008575618116340144,-4.663305125202918
0.4,0.7,375,2501,11350,0.0015906380944427409,-4.0455078532157
0.4,0.8,1110,3539,10722,0.0056053899981178025,-2.785914471701989
0.4,0.9,2166,5744,15561,0.005253192354640526,-2.8508071468452467
0.5,0.0,123,4924,14836,0.005641677255209874,-2.77946169922607
0.5,0.1,150,2369,10459,0.001425796451667888,-4.154912535163377
0.5,0.2,159,2405,11669,0.0009446834841034909,-4.566548451250288
0.5,0.3,159,2225,10505,0.000984828652414919,-4.524930716082672
0.5,0.4,174,2253,10868,0.000842354226245508,-4.6811977631552875
0.5,0.5,168,1999,10266,0.0007767233840278407,-4.76231410331272
0.5,0.6,300,2991,11731,0.0012840207620396316,-4.2596467312513555
0.5,0.7,405,2773,11372,0.0017208373651032881,-3.96683209366773
0.5,0.8,855,3657,11307,0.00367914131534991,-3.206963719468084
0.5,0.9,2022,4289,11686,0.006641471899839447,-2.616309495615815
0.6,0.0,123,4924,14836,0.005641677255209874,-2.77946169922607
0.6,0.1,150,2400,11106,0.0014364195807608556,-4.147489491094144
0.6,0.2,159,2228,11046,0.0010341172992872365,-4.476094894298328
0.6,0.3,168,2218,11521,0.000742509869185759,-4.807362222762137
0.6,0.4,168,2189,10754,0.000853909262392073,-4.667573447166082
