theta,rho,N,DoFs,Total_DoFs,Error_Estimate,Cost
0.679422914981842,0.08421432226896286,147,2601,10715,0.0007562660368635112,-5.319736583834237
0.5066547393798828,0.10524962842464447,147,2861,10412,0.0007751905340345675,-5.295020949220099
0.570318877696991,0.19159337878227234,204,3162,12786,0.0004979796876728936,-5.737570510337007
0.650446355342865,0.19605711102485657,138,2398,11136,0.0004202424152553213,-5.907298074771468
0.48321136832237244,0.16942623257637024,183,3053,12187,0.0004725952398338739,-5.78989050631626
0.516255795955658,0.0,228,4245,13549,0.0006613367159202359,-5.453866684762009
0.5335295796394348,0.2176351398229599,144,2431,10035,0.0004388564330666416,-5.863957470874608
0.5838288068771362,0.0,147,2691,10967,0.00033484131334889306,-6.134473070622415
0.610000491142273,0.08983096480369568,150,3101,11656,0.0004228666961989594,-5.901072808354388
0.6709875464439392,0.0,135,3061,11526,0.0007060135672738063,-5.388495344314077
