theta,rho,N,DoFs,Total_DoFs,Error_Estimate,Cost
0.5576658844947815,0.03728549927473068,162,3800,11975,0.0004217757930074165,-5.903655922067157
0.20901209115982056,0.20417429506778717,228,3425,11227,0.0006502842233753873,-5.47072026467657
0.3944752812385559,0.42126163840293884,156,2127,10451,0.0005730938825713673,-5.597080251501506
0.45541632175445557,0.0,171,3996,13698,0.0002817773643201613,-6.3070125278226
0.6260923743247986,0.07269084453582764,144,3224,11774,0.0004587372545504322,-5.8196521827378875
0.5375062227249146,0.8356990218162537,147,1751,10581,0.0003362675270035149,-6.130222744249271
0.4759550392627716,0.0,255,4576,13030,0.0005391870503213346,-5.6580672558810505
0.531272828578949,0.19776907563209534,192,2539,10564,0.0008710589128883664,-5.178420185940678
0.5284421443939209,0.11743710935115814,150,2935,11413,0.0004580637473749256,-5.821121437887591
0.6700681447982788,0.0057328189723193645,216,4510,14424,0.00043419429102463153,-5.8746376896286465
0.5153267979621887,0.12548872828483582,147,2543,11373,0.0003362675270035149,-6.130222744249271
0.45720407366752625,0.7867356538772583,174,2434,11479,0.00041186589985475427,-5.927431988146282
0.43124595284461975,0.48793986439704895,156,2297,12228,0.00023048487858085706,-6.507944541125713
0.6599147915840149,0.19402757287025452,159,2973,12551,0.00026689711977282706,-6.361266533781546
0.5101767182350159,0.32039833068847656,309,2827,10307,0.0008654562482474043,-5.184872976226519
0.429120808839798,0.14174722135066986,183,3182,12249,0.0004531502691071852,-5.831906008364812
0.5112653970718384,0.0,210,4520,14356,0.0004722254096259304,-5.790673364368828
0.6445773243904114,0.04654993116855621,147,3078,10133,0.0006706104541590972,-5.439941375551764
0.44906482100486755,0.5178467035293579,168,2554,11698,0.00041777581827929025,-5.913184829976592
0.4729773700237274,0.0,144,3168,10870,0.00043094639185717234,-5.882146097198398
0.44267216324806213,0.13955919444561005,165,2969,11874,0.0004384413853446838,-5.864903666668587
