theta,rho,N,DoFs,Total_DoFs,Error_Estimate,Cost
0.0,0.0,12288,12545,16890,0.0452965316100047,-2.474466178289159
0.0,0.1,12288,12545,16890,0.0452965316100047,-2.474466178289159
0.0,0.2,12288,12545,16890,0.0452965316100047,-2.474466178289159
0.0,0.3,12288,12545,16890,0.0452965316100047,-2.474466178289159
0.0,0.4,12288,12545,16890,0.0452965316100047,-2.474466178289159
0.0,0.5,12288,12545,16890,0.0452965316100047,-2.474466178289159
0.0,0.6,12288,12545,16890,0.0452965316100047,-2.474466178289159
0.0,0.7,12288,12545,16890,0.0452965316100047,-2.474466178289159
0.0,0.8,12288,12545,16890,0.0452965316100047,-2.474466178289159
0.0,0.9,12288,12545,16890,0.0452965316100047,-2.474466178289159
0.1,0.0,900,7255,11566,0.0366415617286344,-2.686513480450677
0.1,0.1,948,3962,11897,0.02235581646906477,-3.180610111043663
0.1,0.2,948,3853,11765,0.02235439269045357,-3.180673800238522
0.1,0.3,948,3856,11753,0.022401492414763406,-3.178569060645663
0.1,0.4,948,4033,12075,0.02240996861143196,-3.1781907557845614
0.1,0.5,948,3789,11617,0.02266118478305357,-3.1670431034947075
0.1,0.6,954,3904,11090,0.023335343941280368,-3.1377275243654097
0.1,0.7,1710,4991,11074,0.031586786144327354,-2.8349577697963904
0.1,0.8,2487,5296,14960,0.027061410074936468,-2.989587912361917
0.1,0.9,3294,5678,14919,0.030668862893724447,-2.864448741030017
0.2,0.0,312,5813,12441,0.02239384755404853,-3.1789103845777693
0.2,0.1,375,3077,12249,0.0056079587112382884,-4.563509855716502
0.2,0.2,375,2115,10398,0.005640224550256357,-4.557772764353691
0.2,0.3,396,2268,12099,0.0036545735614596504,-4.9917172292026475
0.2,0.4,396,1987,11364,0.0037159892684843275,-4.975051709920258
0.2,0.5,396,2229,12073,0.0037500370958422026,-4.9659309107883685
0.2,0.6,408,2242,12025,0.003907953346320709,-4.924682846830747
0.2,0.7,459,2246,10858,0.0065492499407863065,-4.408346112713337
0.2,0.8,1659,4393,13247,0.020066068704802528,-3.288666378507667
0.2,0.9,3048,3957,11407,0.02883122238673372,-2.9262377323775497
0.3,0.0,243,5091,11159,0.022361319124367368,-3.1803640015709806
0.3,0.1,276,2558,10771,0.005710487373080753,-4.545392268616038
0.3,0.2,291,2376,11234,0.003681892302074526,-4.98426981040721
0.3,0.3,291,1905,10614,0.0037111734335351842,-4.976348526973355
0.3,0.4,291,1938,10518,0.003817752296304332,-4.94803479761431
0.3,0.5,291,1834,10358,0.003922646164111927,-4.920930175016966
0.3,0.6,306,1994,11769,0.002694079566558018,-5.296640030666024
0.3,0.7,417,2287,11425,0.005134054388047533,-4.651800966855122
0.3,0.8,939,3331,11981,0.013451369757272274,-3.688615701394521
0.3,0.9,2067,4493,13238,0.02317866949779903,-3.1444642053965612
0.4,0.0,189,5831,14860,0.014118403761466133,-3.6402174653264696
0.4,0.1,216,2987,12827,0.003595688185768227,-5.007961241507018
0.4,0.2,216,2226,10103,0.003771630275872582,-4.960189301040571
0.4,0.3,225,2641,11840,0.002571840813614183,-5.343074730549281
0.4,0.4,237,2025,10892,0.002681420108775577,-5.301350097432249
0.4,0.5,267,1990,10315,0.0028793855160640803,-5.230119734041253
0.4,0.6,252,1899,10514,0.003221741226622086,-5.117774675935234
0.4,0.7,330,2047,11822,0.00309136796894166,-5.159082941607782
0.4,0.8,1191,3951,11153,0.021237496505311124,-3.2319283205010527
0.4,0.9,2130,4561,12219,0.030583297351649993,-2.867242621193276
0.5,0.0,129,3887,10218,0.014118420434025641,-3.6402162844174994
0.5,0.1,156,2417,10599,0.0035752420890038912,-5.013663751889196
0.5,0.2,165,2391,10843,0.0024944643686818685,-5.373622618681356
0.5,0.3,174,2531,12500,0.0015878558294774281,-5.8253120717255635
0.5,0.4,204,2176,11076,0.0020872930712594754,-5.551828597657304
0.5,0.5,243,2239,11745,0.0021715934849288058,-5.51223542002657
0.5,0.6,240,1991,11554,0.0023274049121974317,-5.442942767662324
0.5,0.7,420,2653,11595,0.004846034274154564,-4.709535947907902
0.5,0.8,675,2650,10072,0.011614006679367714,-3.835484800883195
0.5,0.9,2460,5072,14245,0.025487478884601678,-3.0495093355070604
0.6,0.0,123,4668,13765,0.008895844702822344,-4.102112362557408
0.6,0.1,141,2373,10197,0.00358720355489543,-5.010323698056645
0.6,0.2,150,2274,10306,0.0024893493456758053,-5.375675273573851
0.6,0.3,159,2410,11000,0.0018606988185405537,-5.66674451688938
0.6,0.4,207,2289,10319,0.002289629710004463,-5.459306537142848
0.6,0.5,192,2075,10599,0.0024060488762273433,-5.409710711291238
0.6,0.6,243,2156,10647,0.0026860572886097216,-5.29962221647643
0.6,0.7,378,2445,11815,0.005768376406992729,-4.535305987292493
0.6,0.8,1173,3360,11173,0.019146779251376502,-3.335562126771137
0.6,0.9,1785,3624,11136,0.026354327115658167,-3.0160641645280735
0.7,0.0,108,3997,11943,0.008895843765595882,-4.102112467912947
0.7,0.1,144,2465,12223,0.001442262668620063,-5.9214834649021295
0.7,0.2,168,2583,11073,0.0017954761061710575,-5.702426415969352
0.7,0.3,153,2311,11189,0.0011879663895872357,-6.115453713999344
0.7,0.4,186,2001,11138,0.0023083928048961994,-5.451145116018988
0.7,0.5,216,1813,10611,0.0028555750907801433,-5.23842338727556
0.7,0.6,225,1939,11689,0.0023762022586592767,-5.422193119370587
0.7,0.7,228,1670,10539,0.0032447267960534166,-5.110665488614041
0.7,0.8,1080,3192,13179,0.014754708474881802,-3.5961343924638927
0.7,0.9,1566,3879,12620,0.028234638906323422,-2.9471470887709215
0.8,0.0,93,3423,10860,0.005604588152577077,-4.5641110676987
