theta,rho,N,DoFs,Total_DoFs,Error_Estimate,Cost
0.5726040005683899,0.016366157680749893,174,1484,7380,0.0014930701532656586,-5.886862137371526
0.48026731610298157,0.051139991730451584,204,2215,9326,0.0015232047718337258,-5.8668801251273
0.6951032876968384,0.30675429105758667,231,1695,9866,0.0017777984057563135,-5.712320894872175
0.32285934686660767,0.0982203334569931,216,2017,9275,0.0018999705312851111,-5.645858266744173
0.31422412395477295,0.3186064064502716,198,2434,9717,0.0014848034628360586,-5.892414227709034
0.419332355260849,0.16694144904613495,168,2430,8522,0.001639059578538151,-5.793573993303434
0.2367430180311203,1.0,210,2850,7830,0.0026149915100534406,-5.326435792068215
0.562710165977478,0.25731343030929565,231,2557,8939,0.0012017748981587608,-6.1038970971175175
0.3904266357421875,0.13638725876808167,195,3644,11379,0.003869421799029741,-4.991069612477039
0.32326313853263855,0.2751767635345459,207,2964,11100,0.002161899540633048,-5.525428746595692
0.38587623834609985,0.0,237,3955,11985,0.0037821092519734435,-5.0070847688233675
0.3379426598548889,0.5882008075714111,270,2938,12486,0.0018204401785711802,-5.707800064181683
0.38409605622291565,0.015435534529387951,213,4242,13674,0.004416216863213716,-4.864322351045657
0.4671805799007416,0.1601986289024353,324,2695,11640,0.0018901634273487853,-5.651875322895746
0.33510729670524597,0.0,213,4870,14045,0.00266975284430118,-5.337256176139183
0.4212709069252014,0.3661053478717804,207,3128,11368,0.0022953138539217118,-5.467007312587997
0.3676217794418335,0.025309547781944275,270,4667,13164,0.0019107772507719447,-5.661929422817693
0.3711654543876648,0.238138809800148,195,3797,13067,0.002994336744256848,-5.230333891519896
0.47078821063041687,0.0,228,4348,13168,0.002673406772480882,-5.344021902333899
0.3308437168598175,0.7103836536407471,261,3174,13117,0.0006672510810467537,-6.656399734505043
