theta,rho,N,DoFs,Total_DoFs,Error_Estimate,Cost
0.5347074270248413,0.0,147,2985,12299,0.0003786135758431914,-6.059917296559388
0.4737025797367096,0.3052724301815033,189,2326,10368,0.0006848996037507571,-5.429029543336048
0.338259756565094,0.1778382658958435,144,2978,11612,0.00040231742792300976,-5.882869766105716
0.5076858401298523,0.12884841859340668,153,2909,10769,0.0004674809184119542,-5.83063884548428
0.4860689043998718,0.21360118687152863,144,2591,11011,0.0004301572853266521,-5.842736415581983
0.47139087319374084,0.0,231,4407,14299,0.0004650301426652964,-5.825842660103348
0.6150665879249573,0.07796579599380493,201,3479,12093,0.00046265377500859055,-5.815997637518688
0.4392508566379547,0.4624219834804535,177,2494,10636,0.0005300971976597064,-5.730957160163219
0.5546671152114868,0.0,144,3270,11641,0.00044114646097902395,-5.869442128166181
0.39874541759490967,0.20868629217147827,165,3232,12441,0.0004529390324923026,-5.814921785123186
0.5335586071014404,0.1377428025007248,165,2621,11491,0.00040000205802517136,-5.829951732797179
0.5795059204101562,0.0,210,4492,13951,0.000475033537499042,-5.843750861393223
0.439671128988266,0.19059011340141296,147,2665,11594,0.0004468493853951417,-5.803766231254405
0.4648127853870392,0.20546258985996246,189,2839,11431,0.0004530970458386982,-5.875597341617667
0.47072744369506836,0.0,228,3755,11853,0.0007440474339610278,-5.22843708772164
0.372842401266098,0.3774314224720001,252,3371,12472,0.00046013071656637243,-5.843948658338096
0.5581563711166382,0.06784554570913315,192,3582,10677,0.00046638087979187213,-5.846859727278459
0.3769475519657135,0.26172152161598206,150,2375,10177,0.0006983975518129851,-5.464798403686794
0.410011351108551,0.0,165,3214,11724,0.0003734212308742493,-6.011581105308621
0.45392274856567383,0.14253506064414978,162,2995,11705,0.000394591381028401,-5.857934859280293
0.3922187089920044,0.10311248898506165,141,2866,11127,0.0004955382357033706,-5.756857296776883
0.5261695384979248,0.24795325100421906,183,2681,11063,0.0005078094873407405,-5.7841619397467845
0.4742317199707031,0.26625344157218933,228,3008,12991,0.0005015416795935588,-5.635615031882198
0.4171896278858185,0.04153523966670036,159,3867,13707,0.0004209557322611845,-5.963662887645495
0.39554983377456665,0.29719915986061096,150,2343,11141,0.00038358807988021846,-5.869060083350566
0.5161557793617249,0.18496263027191162,201,3131,12336,0.0004609801820720679,-5.776168543270091
0.40374845266342163,0.32595008611679077,147,2749,12105,0.0002834291693731193,-6.3277194589269605
0.6888467669487,0.0,141,2829,10483,0.0005390813896464356,-5.706306496050193
0.545024037361145,0.13431952893733978,225,3564,12074,0.0007748859216678449,-5.3636957242511105
0.33673912286758423,0.3769717812538147,216,2992,10484,0.0006695190343252741,-5.465058696846242
0.5842919945716858,0.1120152622461319,177,3089,11781,0.0005623855949638703,-5.6321113289141245
0.5671889781951904,0.11867082864046097,189,3326,10888,0.0004981547576645011,-5.807664858934746
0.43900489807128906,0.0,216,4041,13885,0.000442946868417222,-5.776841030311623
0.2149886190891266,0.3829227387905121,234,3177,12782,0.000646711967075384,-5.498794631513271
0.4603515565395355,0.1249600425362587,144,2924,11126,0.00046597500175309396,-5.805530213148488
0.47529366612434387,0.052285559475421906,147,3287,12440,0.000270978831759148,-6.242857926568808
0.4354422390460968,0.3331555724143982,141,2136,11580,0.000377556756493144,-5.9022768862384725
0.5330000519752502,0.07522866129875183,261,4106,11802,0.000791605564945158,-5.340942117878699
0.2995712161064148,0.5383573174476624,159,2326,11072,0.000441812912438224,-5.902011312176196
0.47889164090156555,0.19226618111133575,147,2656,12467,0.0003213737970575912,-6.100034619236194
0.5244647860527039,0.1144263744354248,138,2664,11102,0.0004848743101957476,-5.7232689279035345
0.4650014638900757,0.25282344222068787,153,2690,10597,0.0004989972490551063,-5.763402076449598
