theta,rho,N,DoFs,Total_DoFs,Error_Estimate,Cost
0.524494469165802,0.3738531172275543,144,2581,11623,0.0017067547106726757,-3.928004540060143
0.3172447383403778,0.638453483581543,237,2688,10180,0.0014052748911727439,-4.173688883959414
0.33712872862815857,0.14968547224998474,231,3712,13422,0.000693932300379357,-4.883654444667066
0.49479904770851135,0.10303212702274323,228,3211,10567,0.0010343853342076302,-4.491355101857904
0.5317279100418091,0.35127565264701843,237,2687,10244,0.000797108390221401,-4.729990010536449
0.36613479256629944,0.17228014767169952,204,2860,11105,0.0009662938558475023,-4.5861821672705325
0.6554064154624939,0.06839577853679657,231,3376,10322,0.001258120599500936,-4.287142525448884
0.318683385848999,0.5628840327262878,315,3203,12255,0.0008290069144182479,-4.6551743209546546
0.40686848759651184,0.0,180,3159,12638,0.0006977914481182153,-4.848163876677612
0.33496057987213135,0.28865814208984375,273,3144,10842,0.00110276349760292,-4.416340823110378
0.4534573554992676,0.11282971501350403,204,3008,11356,0.0011028868561511937,-4.439465983211685
0.46370649337768555,0.22201792895793915,216,2884,12579,0.0006215168976618943,-4.975581788008355
0.43287035822868347,0.21622008085250854,189,2904,11341,0.0006659525504040826,-4.923717425841303
0.5138874650001526,0.12812070548534393,222,3508,11542,0.0007731668424158588,-4.8290957584237395
0.2993594706058502,0.25390443205833435,306,3228,10293,0.0013982131347211409,-4.232253002797648
0.5225821137428284,0.2245652973651886,231,2685,11929,0.0007837504722024584,-4.7490103832998525
0.5321636199951172,0.0,168,4196,13962,0.001472445378963702,-4.085963142016136
0.43648698925971985,0.15573036670684814,237,3194,10839,0.0012011982413866896,-4.331972027174492
0.418474018573761,0.18010921776294708,195,2953,11634,0.0006441744192456124,-4.940898750158588
0.43013104796409607,0.0,168,2976,11000,0.0009861716845675974,-4.501725700931636
0.3284778594970703,0.09245814383029938,222,3898,13604,0.0005679580881726124,-5.02709574272129
0.4810817837715149,0.25825393199920654,276,3349,12282,0.0008611413608133358,-4.61750090412507
0.3685564398765564,0.4866809844970703,195,2323,11236,0.0006405045768661569,-4.917584031917937
0.6516620516777039,0.07110068202018738,177,2941,10210,0.00108859990970702,-4.415676714389122
0.5416530966758728,0.0,216,3259,10096,0.0013924119491615726,-4.174051520433537
0.49063611030578613,0.36438658833503723,273,2716,10655,0.0010776817106776407,-4.485866101031724
0.4196414351463318,0.01764511503279209,168,3034,11699,0.00072322641082486,-4.894171883606076
0.6697335839271545,0.033646486699581146,195,3737,11905,0.0008311622137447191,-4.715096772939983
0.22230885922908783,0.4088108241558075,354,3556,11482,0.0011270488902815443,-4.371060796471525
0.29638320207595825,0.25962066650390625,243,2794,11079,0.0009712645715005811,-4.539808113424792
0.4787530303001404,0.488023966550827,228,2702,10514,0.0007993673592355968,-4.703919180522828
0.41103944182395935,0.3234708607196808,186,2700,12190,0.0005451856556258333,-5.074343651829915
0.3716799318790436,0.28187891840934753,243,3214,12420,0.0006592772596986708,-4.899670610692368
0.17495431005954742,0.6932399272918701,399,3497,10738,0.0016132231545002622,-4.041739499182108
0.4306546151638031,0.030682779848575592,174,3041,12822,0.0007907031478461328,-4.717621419317702
0.4871966540813446,0.22247999906539917,180,3048,11922,0.001448003864114145,-4.191777102946043
0.5416705012321472,0.159626767039299,237,2711,11797,0.00118199682874073,-4.361223207396792
0.4240626394748688,0.0433269664645195,312,4528,13348,0.0009422251649197749,-4.578645027815144
0.4912314713001251,0.2932210862636566,195,2105,10400,0.0010558816410268681,-4.507216652284015
0.39706185460090637,0.0,219,3924,13645,0.0009827518909680702,-4.546064675531332
0.4864369034767151,0.903212308883667,159,3173,12531,0.0008799834109987372,-4.627234947322448
0.4246606230735779,0.25723621249198914,201,2943,11559,0.0007055652003909545,-4.8944249590013555
